日期,open,high,low,close,adj close,volume
1/2/2020,7.14,7.21,7.12,7.16,6.9852,4980666
1/3/2020,7.28,7.31,7.16,7.19,7.0145,2763615
1/6/2020,7.01,7.03,6.91,7,6.8291,7859151
1/7/2020,7.23,7.255,7.08,7.1,6.9267,7589056
1/8/2020,7.05,7.08,6.76,6.86,6.6925,13449760
1/9/2020,6.97,7,6.9,6.95,6.7803,6173211
1/10/2020,6.99,7.06,6.96,7,6.8291,4450193
1/13/2020,6.98,7.06,6.98,7.02,6.8486,3842992
1/14/2020,7.09,7.15,7.08,7.11,6.9364,4958613
1/15/2020,7.17,7.2,7.02,7.04,6.8681,10472071
1/16/2020,7.04,7.07,7.02,7.07,6.8974,10728336
1/17/2020,7.12,7.15,7.1,7.15,6.9755,9619822
